team,distance_km
Algeria,4797.5
Argentina,739.0
Australia,1329.3
Austria,3053.8
Belgium,3301.7
Bosnia and Herzegovina,5057.6
Brazil,1757.6
Cabo Verde,2502.3
Canada,3356.8
Colombia,2915.1
Congo DR,3660.1
Croatia,2499.9
Curaçao,2702.1
Czechia,4544.2
Côte d'Ivoire,1088.8
Ecuador,3404.7
Egypt,391.3
England,2767.5
France,545.5
Germany,2640.0
Ghana,1094.2
Haiti,1475.8
IR Iran,1553.1
Iraq,952.5
Japan,1688.2
Jordan,2314.8
Korea Republic,644.9
Mexico,951.8
Morocco,1749.7
Netherlands,1421.0
New Zealand,1748.5
Norway,547.8
Panama,540.2
Paraguay,504.6
Portugal,1547.1
Qatar,1519.1
Saudi Arabia,2089.8
Scotland,1972.5
Senegal,540.2
South Africa,3942.6
Spain,2373.1
Sweden,1028.7
Switzerland,2253.1
Tunisia,1582.1
Türkiye,1828.0
USA,3106.3
Uruguay,2439.2
Uzbekistan,2349.2
