city,country,stadium_wc2026_name,stadium_common_name,altitude_m,altitude_ft,altitude_tier
Mexico City,Mexico,Mexico City Stadium,Estadio Azteca,2240,7349,High
Guadalajara,Mexico,Guadalajara Stadium,Estadio Akron,1566,5138,High
Monterrey,Mexico,Monterrey Stadium,Estadio BBVA,538,1765,Moderate
Kansas City,USA,Kansas City Stadium,Arrowhead Stadium,320,1050,Low
Atlanta,USA,Atlanta Stadium,Mercedes-Benz Stadium,320,1050,Low
Dallas,USA,Dallas Stadium,AT&T Stadium,183,600,Low
Toronto,Canada,Toronto Stadium,BMO Field,76,249,Negligible
Boston,USA,Boston Stadium,Gillette Stadium,27,89,Negligible
Los Angeles,USA,Los Angeles Stadium,SoFi Stadium,27,89,Negligible
New York/New Jersey,USA,New York Stadium,MetLife Stadium,7,23,Negligible
Seattle,USA,Seattle Stadium,Lumen Field,7,23,Negligible
Houston,USA,Houston Stadium,NRG Stadium,15,49,Negligible
San Francisco,USA,San Francisco Stadium,Levi's Stadium,15,49,Negligible
Philadelphia,USA,Philadelphia Stadium,Lincoln Financial Field,12,39,Negligible
Miami,USA,Miami Stadium,Hard Rock Stadium,3,10,Negligible
Vancouver,Canada,Vancouver Stadium,BC Place,3,10,Negligible
